ticker,industry,name,period,unit,value,group
BAF,Thực phẩm và đồ uống,Tài sản dài hạn,Q2-2025,Tỷ VND,5022.56,CĐKT - Tài sản
VLC,Thực phẩm và đồ uống,Tài sản dài hạn,Q2-2025,Tỷ VND,2827.23,CĐKT - Tài sản
HAG,Thực phẩm và đồ uống,Tài sản dài hạn,Q1-2025,Tỷ VND,14229.44,CĐKT - Tài sản
DBC,Thực phẩm và đồ uống,Tài sản dài hạn,Q1-2025,Tỷ VND,6183.53,CĐKT - Tài sản
BAF,Thực phẩm và đồ uống,Tài sản dài hạn,Q1-2025,Tỷ VND,4555.5,CĐKT - Tài sản
VLC,Thực phẩm và đồ uống,Tài sản dài hạn,Q1-2025,Tỷ VND,2698.27,CĐKT - Tài sản
HAG,Thực phẩm và đồ uống,Tài sản dài hạn,Q4-2024,Tỷ VND,13845.46,CĐKT - Tài sản
DBC,Thực phẩm và đồ uống,Tài sản dài hạn,Q4-2024,Tỷ VND,6283.42,CĐKT - Tài sản
BAF,Thực phẩm và đồ uống,Tài sản dài hạn,Q4-2024,Tỷ VND,4368.01,CĐKT - Tài sản
VLC,Thực phẩm và đồ uống,Tài sản dài hạn,Q4-2024,Tỷ VND,2738.21,CĐKT - Tài sản
HAG,Thực phẩm và đồ uống,Tài sản dài hạn,Q3-2024,Tỷ VND,13624.56,CĐKT - Tài sản
DBC,Thực phẩm và đồ uống,Tài sản dài hạn,Q3-2024,Tỷ VND,6034.0,CĐKT - Tài sản
BAF,Thực phẩm và đồ uống,Tài sản dài hạn,Q3-2024,Tỷ VND,3878.54,CĐKT - Tài sản
VLC,Thực phẩm và đồ uống,Tài sản dài hạn,Q3-2024,Tỷ VND,2288.74,CĐKT - Tài sản
HAG,Thực phẩm và đồ uống,Tài sản dài hạn,Q2-2024,Tỷ VND,12462.57,CĐKT - Tài sản
DBC,Thực phẩm và đồ uống,Tài sản dài hạn,Q2-2024,Tỷ VND,5941.17,CĐKT - Tài sản
BAF,Thực phẩm và đồ uống,Tài sản dài hạn,Q2-2024,Tỷ VND,3769.97,CĐKT - Tài sản
VLC,Thực phẩm và đồ uống,Tài sản dài hạn,Q2-2024,Tỷ VND,2248.52,CĐKT - Tài sản
HAG,Thực phẩm và đồ uống,Tài sản cố định,Q2-2025,Tỷ VND,7509.1,CĐKT - Tài sản
DBC,Thực phẩm và đồ uống,Tài sản cố định,Q2-2025,Tỷ VND,4564.71,CĐKT - Tài sản
BAF,Thực phẩm và đồ uống,Tài sản cố định,Q2-2025,Tỷ VND,2932.98,CĐKT - Tài sản
VLC,Thực phẩm và đồ uống,Tài sản cố định,Q2-2025,Tỷ VND,2026.34,CĐKT - Tài sản
HAG,Thực phẩm và đồ uống,Tài sản cố định,Q1-2025,Tỷ VND,6581.99,CĐKT - Tài sản
DBC,Thực phẩm và đồ uống,Tài sản cố định,Q1-2025,Tỷ VND,4659.61,CĐKT - Tài sản
BAF,Thực phẩm và đồ uống,Tài sản cố định,Q1-2025,Tỷ VND,2415.6,CĐKT - Tài sản
VLC,Thực phẩm và đồ uống,Tài sản cố định,Q1-2025,Tỷ VND,1457.74,CĐKT - Tài sản
