,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022,Q1 2023,Q2 2023,Q3 2023,Q4 2023,Q1 2024,Q2 2024,Q3 2024,Q4 2024,Q1 2025,Q2 2025,type
        IV. Tổng hàng tồn kho,1295548.177189,1290091.524352,1638474.324623,1849606.883871,1955072.057943,1507342.901619,1841894.72143,2207460.290255,2188156.229832,1965787.736563,2085309.446226,2028260.743417,1757547.511785,1593411.075233,1856403.641469,1883517.781683,2059110.974322,1835800.448666,2107939.084995,2074111.218172,BalanceSheet
            1. Hàng tồn kho,1375484.867442,1405083.502315,1760642.15664,1975988.437987,2075649.392742,1623315.328554,1949021.697571,2307220.887489,2296513.265409,2121118.039562,2236267.337224,2178824.846894,1896440.753051,1724956.924671,1996597.94912,2020867.809584,2193960.954794,1969267.986149,2238873.166859,2157814.116939,BalanceSheet
            2. Dự phòng giảm giá hàng tồn kho,-79936.690253,-114991.977963,-122167.832017,-126381.554116,-120577.334799,-115972.426935,-107126.976141,-99760.597234,-108357.035577,-155330.302999,-150957.890998,-150564.103477,-138893.241266,-131545.849438,-140194.307651,-137350.027901,-134849.980472,-133467.537483,-130934.081864,-83702.898767,BalanceSheet
        V. Tài sản ngắn hạn khác,949407.713265,934444.320872,995606.087754,597345.121687,543530.084801,578555.687236,708092.273105,717276.380694,770339.782743,981735.303676,995105.902574,1035254.520683,1183255.126184,1198835.180678,1196256.798381,1206873.221697,1292616.500084,1159049.076313,1445717.21345,1472724.433925,BalanceSheet
            1. Chi phí trả trước ngắn hạn,657711.65811,620955.20648,670749.876274,334612.04587,276299.347871,290950.472969,394619.151977,397223.198101,427201.606844,409346.699247,503245.87409,516741.835533,629748.166454,582949.832011,626343.628225,581246.029484,617798.475447,453590.735414,664880.944825,721172.64934,BalanceSheet
            2. Thuế giá trị gia tăng được khấu trừ,226543.345349,268314.49028,250943.710339,240684.478781,243800.135652,256103.808848,271297.039032,299774.20193,323529.979594,385749.208732,405706.257428,477098.404828,506465.099172,531703.625576,480443.46685,518863.078795,604630.088228,648700.70186,641338.640115,636667.509274,BalanceSheet
            3. Thuế và các khoản phải thu Nhà nước,65152.709806,45174.624112,73912.501141,22048.597036,23430.601278,31501.405419,42176.082096,20278.980663,19608.196305,186639.395697,86153.771056,41414.280322,47041.860558,84181.723091,89469.703306,106764.113418,70187.936409,56757.639039,139497.62851,114884.275311,BalanceSheet
            4. Giao dịch mua bán lại trái phiếu chính phủ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BalanceSheet
            5. Tài sản ngắn hạn khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BalanceSheet
    B. Tài sản cố định và đầu tư dài hạn,15284122.357685,16141090.782024,16568753.168985,17346167.19968,17589371.624276,18579859.430879,18983948.80904,19135844.889005,19857626.692533,20721483.952116,21216668.704842,21765967.171287,22580733.074663,23615732.701547,24345556.01394,24451014.484828,24976481.427066,26537742.279063,27922162.132192,28890417.015635,BalanceSheet
        I. Các khoản phải thu dài hạn,371632.861351,242872.863326,245989.451844,326698.907178,168588.399483,167244.119883,187691.154423,177183.56018,198477.998944,225090.876189,223260.548278,228789.446693,237407.427718,247407.205599,319672.686548,315647.881073,346824.501151,331646.166008,433719.28218,555386.499326,BalanceSheet
            1. Phải thu dài hạn của khách hàng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,298.168,0.0,0.0,0.0,5262.117035,BalanceSheet
            2. Vốn kinh doanh tại các đơn vị trực thuộc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BalanceSheet
            3. Phải thu dài hạn nội bộ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BalanceSheet
            4. Phải thu về cho vay dài hạn,91149.3608,93992.225574,93568.407678,93335.081908,2574.676673,2268.758773,1843.371213,1505.789237,1291.670151,1189.922137,1002.905644,729.134337,582.878037,0.0,0.0,0.0,897.416719,2509.722351,3234.647419,0.0,BalanceSheet
            5. Phải thu dài hạn khác,335212.674369,203609.81157,207150.217984,288092.999088,220742.896628,219704.534928,240576.957028,228050.25358,249558.81143,276273.436689,274630.125271,280432.794993,289197.032318,299779.688236,372045.169185,367722.19571,398299.567069,381508.926294,482857.117398,602496.864928,BalanceSheet
            6. Dự phòng phải thu dài hạn khó đòi,-54729.173818,-54729.173818,-54729.173818,-54729.173818,-54729.173818,-54729.173818,-54729.173818,-52372.482637,-52372.482637,-52372.482637,-52372.482637,-52372.482637,-52372.482637,-52372.482637,-52372.482637,-52372.482637,-52372.482637,-52372.482637,-52372.482637,-52372.482637,BalanceSheet
        II. Tài sản cố định,7238790.571133,8317998.687965,8373230.770473,8292676.926263,8442954.951887,10398841.278372,10565697.032867,10634895.059784,11384340.094228,12032914.964907,11983455.35504,12232267.027235,13261738.918834,13643232.649898,13814237.251681,14177576.187762,14439270.982491,14841618.370112,15548353.983782,16856008.406544,BalanceSheet
            1. Tài sản cố định hữu hình,6134425.748719,7219727.606116,7285925.964352,7225475.515955,7360311.588243,9260938.430651,9444684.229515,9515909.907091,10171786.476096,10714231.13852,10712640.558475,11033012.522093,12077071.951731,12382116.875314,12297776.649497,12660063.163797,12896881.546915,12800055.145626,13567762.652609,14918062.033907,BalanceSheet
                - Nguyên giá,11778831.504074,12945762.081818,13288879.353251,13534712.119585,13976823.237129,16080827.716168,16618965.796943,17040369.238508,18073106.369201,19007982.397113,19440703.827238,20142862.455487,21616988.146434,22289069.528335,22649092.684044,23459020.096615,24158069.038149,24483220.850419,25711539.128956,27579702.921559,BalanceSheet
                - Giá trị hao mòn lũy kế,-5644405.755355,-5726034.475702,-6002953.388899,-6309236.60363,-6616511.648886,-6819889.285517,-7174281.567428,-7524459.331417,-7901319.893105,-8293751.258593,-8728063.268763,-9109849.933394,-9539916.194703,-9906952.653021,-10351316.034547,-10798956.932818,-11261187.491234,-11683165.704793,-12143776.476347,-12661640.887652,BalanceSheet
            2. Tài sản cố định thuê tài chính,3088.289171,2902.077617,2528.271864,2823.139478,2559.686397,4842.789874,4272.874821,32931.396849,30360.484766,31623.636433,29262.160342,2911.315411,2663.721541,4018.633151,3541.847532,3124.963681,2382.853627,2042.708364,1950.397239,1829.838007,BalanceSheet
