,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022,Q1 2023,Q2 2023,Q3 2023,Q4 2023,Q1 2024,Q2 2024,Q3 2024,Q4 2024,Q1 2025,Q2 2025,type
        I. Vốn chủ sở hữu,18178651.005669,18599963.49242,19727550.427822,20054778.192945,20321383.210432,21417426.642404,22956651.841586,23408923.147375,24053018.329616,25340230.745741,27058429.21399,28592577.883064,28402905.629698,29945604.954414,31724351.031164,32733693.248309,35361434.226425,35793876.41897,37893904.696942,39873712.423153,BalanceSheet
            1. Vốn đầu tư của chủ sở hữu,7839874.86,7839874.86,7839874.86,9075516.49,9075516.49,9075516.49,9075516.49,10970265.72,10970265.72,10970265.72,10970265.72,11043316.22,12699688.75,12699688.75,12699688.75,14604480.66,14604480.66,14710691.83,14710691.83,14813301.22,BalanceSheet
            2. Thặng dư vốn cổ phần,49713.213411,49713.213411,49713.213411,49713.213411,49713.213411,49713.213411,49713.213411,49713.213411,49713.213411,49713.213411,49713.213411,49713.213411,49713.213411,49713.213411,49713.213411,49713.213411,49713.213411,49713.213411,49713.213411,49713.213411,BalanceSheet
            3. Quyền chọn chuyển đổi trái phiếu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BalanceSheet
            4. Vốn khác của chủ sở hữu,920081.410199,920081.410199,920081.410199,1176568.596721,1178174.776366,1178174.776366,1178174.776366,1178174.776366,1178175.536522,1179064.868147,1179064.868147,1179064.868147,1179064.868147,1928602.158147,1928079.706361,1928079.706361,1928079.706361,1929012.703454,1929012.703454,3445303.270339,BalanceSheet
            5. Cổ phiếu quỹ,-823.76,-823.76,-823.76,-823.76,-823.76,-823.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BalanceSheet
            6. Chênh lệch đánh giá lại tài sản,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BalanceSheet
            7. Chênh lệch tỷ giá hối đoái,-9218.848167,13497.02519,-17762.31297,-6623.756873,-16213.029123,-22525.874645,-20961.672908,-26957.064607,-55305.450641,-40357.533181,-41422.767659,-63672.534687,-51363.368317,-17000.608261,-39209.406195,-54246.270885,-29631.639215,-49482.336677,13708.111052,765.225132,BalanceSheet
            8. Quỹ đầu tư phát triển,330124.830708,440634.735853,462731.536495,501599.626887,517940.941802,574902.605021,567067.242973,703060.297129,709313.832999,1079641.024169,1134117.262506,1186162.99534,1278251.861087,1559995.344872,1626776.63059,1689800.219262,1785871.347912,2108953.405345,2071074.307101,1153142.943064,BalanceSheet
            9. Quỹ dự phòng tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BalanceSheet
            10. Quỹ khác thuộc vốn chủ sở hữu,87203.093024,87203.093024,87203.093024,87203.093024,87203.093024,87203.093024,87203.093024,87203.093024,87203.093024,87203.093024,87203.093024,87203.093024,87203.093024,87203.093024,87730.484825,87730.484825,87730.484825,87730.484825,91579.141774,87328.710821,BalanceSheet
            11. Lợi nhuận sau thuế chưa phân phối,5843096.960248,6390630.135723,7294117.578994,5900973.399171,6089271.019675,6997849.946082,8244315.683289,6595216.750742,6953169.466146,7704079.785679,9207127.401083,10666118.581988,8388775.579103,8679208.502528,10478838.767447,9178029.915429,11263802.921306,11023565.343389,13205526.456323,13754625.963366,BalanceSheet
                - LNST chưa phân phối lũy kế đến cuối kỳ trước,4072298.613058,4049855.354551,906142.681183,3994895.351529,3964992.308767,3966759.430199,7005423.492723,4104252.874204,4107042.407283,4103787.447601,7713564.820193,7663648.414514,5190116.969064,4470578.664053,8680772.347026,5504840.283364,5501785.086737,5458228.109134,11031225.069798,9318374.975781,BalanceSheet
                - LNST chưa phân phối kỳ này,1770798.34719,2340774.781172,6387974.897811,1906078.047642,2124278.710908,3031090.515883,1238892.190566,2490963.876538,2846127.058863,3600292.338078,1493562.58089,3002470.167474,3198658.610039,4208629.838475,1798066.420421,3673189.632065,5762017.834569,5565337.234255,2174301.386525,4436250.987585,BalanceSheet
            12. Nguồn vốn đầu tư xây dựng cơ bản,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BalanceSheet
            13. Quỹ hỗ trợ sắp xếp doanh nghiệp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BalanceSheet
            14. Lợi ích của cổ đông không kiểm soát,3118599.246246,2859152.77902,3092414.808669,3270651.290604,3340600.465277,3477416.153145,3775623.015431,3852246.36131,4160482.918155,4310620.574492,4472360.423478,4444671.445841,4771571.633243,4958194.500693,4892732.884725,5250105.319906,5671387.531825,5933691.775223,5822598.933827,6569531.87702,BalanceSheet
        II. Nguồn kinh phí và quỹ khác,2750.0,2750.0,2750.0,2750.0,2750.0,2750.0,2750.0,2750.0,2750.0,2750.0,2750.0,2750.0,2750.0,2750.0,2750.0,2750.0,2750.0,2750.0,2750.0,2750.0,BalanceSheet
            1. Nguồn kinh phí ,2750.0,2750.0,2750.0,2750.0,2750.0,2750.0,2750.0,2750.0,2750.0,2750.0,2750.0,2750.0,2750.0,2750.0,2750.0,2750.0,2750.0,2750.0,2750.0,2750.0,BalanceSheet
            2. Nguồn kinh phí đã hình thành tài sản cố định,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BalanceSheet
            3. Quỹ dự phòng trợ cấp mất việc làm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BalanceSheet
TỔNG CỘNG NGUỒN VỐN,37757456.671158,41749437.163498,44474278.409818,46980501.050598,48244877.999621,53696643.591424,55601299.35362,56295551.150306,55127101.516155,51655408.644948,50741161.416448,60524394.513231,62112676.348644,60325276.051932,62024705.048429,65286245.628524,67581587.131382,72013238.235529,73997673.121789,81601597.008376,BalanceSheet
1. Tổng doanh thu hoạt động kinh doanh,7578691.043196,8700729.240329,7605674.678535,8625504.443301,8687049.614341,10714772.437502,9731832.4206,10096707.659064,11148779.552748,13053462.794764,11683021.258544,12484515.133084,13761831.884948,14695806.584757,14093297.397476,15245892.28852,15972397.0697,17651065.37894,16064980.391264,16658335.760739,IncomeStatement
2. Các khoản giảm trừ doanh thu,25562.539124,34024.627352,19347.008581,-16202.84152,-38122.342631,10716.804222,1578.576209,647.568105,220.532395,11036.523655,1642.375241,150.868182,86.909091,5393.881434,368.983777,665.8725,69575.353943,43247.573048,6839.448804,33622.720672,IncomeStatement
3. Doanh thu thuần (1)-(2),7553128.504072,8666704.612977,7586327.669954,8641707.284821,8725171.956972,10704055.63328,9730253.844391,10096060.090959,11148559.020353,13042426.271109,11681378.883303,12484364.264902,13761744.975857,14690412.703323,14092928.413699,15245226.41602,15902821.715757,17607817.805892,16058140.94246,16624713.040067,IncomeStatement
4. Giá vốn hàng bán,4554350.312294,5195783.662734,4691800.715286,5201526.141916,5474243.222947,6609687.457941,5776932.551838,6253371.741649,6789073.328096,7801152.486947,7113499.882609,7850539.957865,8265376.008841,9058549.143162,8582462.733612,9593869.093122,9743866.051351,11128844.453966,9756793.038194,10603672.997092,IncomeStatement
5. Lợi nhuận gộp (3)-(4),2998778.191778,3470920.950243,2894526.954668,3440181.142905,3250928.734025,4094368.175339,3953321.292553,3842688.34931,4359485.692257,5241273.784162,4567879.000694,4633824.307037,5496368.967016,5631863.560161,5510465.680087,5651357.322898,6158955.664406,6478973.351926,6301347.904266,6021040.042975,IncomeStatement
6. Doanh thu hoạt động tài chính,218188.627566,223126.152055,325440.423279,240540.286743,332266.541305,372542.13494,415786.301903,506153.596907,549704.414876,526329.659816,676476.546426,623044.115643,516203.046415,520345.470835,457092.979986,569292.544523,326689.006856,576398.372443,573331.893191,1236993.026877,IncomeStatement
7. Chi phí tài chính,108899.945949,152060.434779,141136.993354,361830.175777,272888.215242,366884.116683,267572.525432,336841.342151,413926.492214,644381.295008,496815.340139,287498.451679,406428.287129,527556.384763,334065.273301,337927.906368,308178.806879,831375.395433,311343.769364,531366.21507,IncomeStatement
    -Trong đó: Chi phí lãi vay,85791.92368,98553.625985,99817.213604,124530.447801,120148.949616,138051.289994,145819.741163,176780.202334,166542.329315,156583.283497,147985.668274,212364.00536,265654.864395,206644.073232,137833.720086,150125.422101,128825.950601,134854.268998,152389.538333,216761.295705,IncomeStatement
8. Phần lợi nhuận hoặc lỗ trong công ty liên kết liên doanh,67778.123792,94915.649543,115085.619364,149843.474585,147867.487076,272533.380299,208830.242201,86152.785186,91215.132079,98197.938512,43757.073944,-65748.307687,39896.110382,58146.30117,74454.138017,58601.427292,142580.948775,117814.322579,136730.336838,106714.935715,IncomeStatement
9. Chi phí bán hàng,627451.667728,858582.754238,852114.921328,829919.009383,804023.830463,1225942.02037,1007092.497146,1013823.056754,1131402.372888,1481341.041915,1101871.534159,1238296.534096,1434174.354947,1316156.285395,1368948.625743,1588212.329172,1563862.943636,1684353.616264,1828785.929282,1790295.896888,IncomeStatement
10. Chi phí quản lý doanh nghiệp,1178990.862353,1355121.201405,961763.590894,1115156.026481,1071115.122466,1406871.909119,1530572.234992,1248160.216741,1461418.832201,1761816.901184,1592492.46463,1475558.757945,1773504.449852,1979944.371544,1823471.776014,1712658.095576,1807957.864952,1735410.040472,1877437.056836,1913706.634404,IncomeStatement
11. Lợi nhuận thuần từ hoạt động kinh doanh (5)+(6)-(7)+(8)-(9)-(10),1369402.467106,1423198.361419,1380037.491735,1523659.692592,1583035.594235,1739745.644406,1772700.579087,1836170.115757,1993657.541909,1978262.144383,2096933.282136,2189766.371273,2438361.031885,2386698.290464,2515527.123032,2640452.963597,2948226.00457,2922046.994779,2993843.378813,3129379.259205,IncomeStatement
12. Thu nhập khác,38544.844655,45331.089591,23250.469269,20800.020853,59501.680279,29667.007222,31763.099753,39323.957365,46394.199264,67004.87496,42879.374489,46978.996702,46849.960698,64518.573767,44782.907585,27511.31261,34674.999189,40936.158299,39212.521539,28751.046396,IncomeStatement
13. Chi phí khác,22068.339875,21209.410608,6536.749667,4995.19497,3964.50263,9010.426161,25415.83216,17649.446735,12026.921249,56238.388429,19169.009527,18612.734628,56060.532724,16124.06464,26727.976065,-1004.275617,74280.370385,3315.661986,8362.389503,17127.043966,IncomeStatement
14. Lợi nhuận khác (12)-(13),16476.50478,24121.678983,16713.719602,15804.825883,55537.177649,20656.581061,6347.267593,21674.51063,34367.278015,10766.486531,23710.364962,28366.262074,-9210.572026,48394.509127,18054.93152,28515.588227,-39605.371196,37620.496313,30850.132036,11624.00243,IncomeStatement
15. Tổng lợi nhuận kế toán trước thuế (11)+(14),1385878.971886,1447320.040402,1396751.211337,1539464.518475,1638572.771884,1760402.225467,1779047.84668,1857844.626387,2028024.819924,1989028.630914,2120643.647098,2218132.633347,2429150.459859,2435092.799591,2533582.054552,2668968.551824,2908620.633374,2959667.491092,3024693.510849,3141003.261635,IncomeStatement
16. Chi phí thuế TNDN hiện hành,238992.006582,307035.001474,224526.320456,276489.905177,238201.206888,217583.188887,264151.335856,284120.033909,306452.921896,335964.806453,308330.144701,337905.337939,344595.196181,424981.344481,389755.423988,561248.620389,441224.951554,536403.680028,377287.599563,463961.750401,IncomeStatement
17. Chi phí thuế TNDN hoãn lại,-1744.406809,-112303.662813,21522.267377,3308.163405,25756.489578,-16995.648309,-23661.60365,12150.301093,-34425.563561,33171.856353,2514.048503,24645.039772,8685.907653,-41129.315871,-16438.659078,-179993.203349,-11201.94068,-70238.663874,51848.430977,-63200.566619,IncomeStatement
18. Chi phí thuế TNDN (16)+(17),237247.599773,194731.338661,246048.587833,279798.068582,263957.696466,200587.540578,240489.732206,296270.335002,272027.358335,369136.662806,310844.193204,362550.377711,353281.103834,383852.02861,373316.76491,381255.41704,430023.010874,466165.016154,429136.03054,400761.183782,IncomeStatement
19. Lợi nhuận sau thuế thu nhập doanh nghiệp (15)-(18),1148631.372113,1252588.701741,1150702.623504,1259666.449893,1374615.075418,1559814.684889,1538558.114474,1561574.291385,1755997.461589,1619891.968108,1809799.453894,1855582.255636,2075869.356025,2051240.770981,2160265.289642,2287713.134784,2478597.6225,2493502.474938,2595557.480309,2740242.077853,IncomeStatement
20. Lợi nhuận sau thuế của cổ đông không kiểm soát,219743.571475,269745.00956,244559.942321,259635.373909,249776.337511,258292.580261,299678.689488,310753.812623,302281.18062,268290.862292,316236.873004,346362.724393,336528.995781,322840.809646,362234.426114,412554.366247,389745.410092,406509.253823,421256.093784,482808.812555,IncomeStatement
21. Lợi nhuận sau thuế của cổ đông của công ty mẹ (19)-(20),928887.800638,982843.692181,906142.681183,1000031.075984,1124838.737907,1301522.104628,1238879.424986,1250820.478762,1453716.280969,1351601.105816,1493562.58089,1509219.531243,1739340.360244,1728399.961335,1798030.863528,1875158.768537,2088852.212408,2086993.221115,2174301.386525,2257433.265298,IncomeStatement
I. Lưu chuyển tiền từ hoạt động kinh doanh,,,,,,,,,,,,,,,,,,,,,CashFlow
    1. Lợi nhuận trước thuế,1385878.971886,1447320.040402,1396751.211337,1539464.518474,1638572.771884,1760402.225467,1779047.84668,1857844.626387,2028024.819924,1989028.630914,2120643.647098,2218132.633347,2429150.459859,2435092.799591,2533582.054552,2668968.551824,2908620.633374,2959667.491092,3024693.510849,3141003.261635,CashFlow
    2. Điều chỉnh cho các khoản,257724.037513,467651.307751,147702.933478,300120.480706,236685.00467,31288.447385,97602.879591,74713.341642,358311.308581,805859.899128,154048.918695,292396.748586,419842.84746,849012.597076,476202.978266,331905.013203,683007.305439,1037682.310868,319556.82855,182394.536999,CashFlow
        - Khấu hao TSCĐ,372221.761446,388297.670978,386343.688745,386729.793605,412677.69769,458158.012704,430035.19798,447956.576173,455112.193671,500029.827304,510016.474629,542326.870002,557527.595017,676678.338463,617374.340526,630349.712236,644267.304242,668069.544661,644023.121646,721994.902606,CashFlow
        - Các khoản dự phòng,78887.286573,270031.770202,73754.310236,146040.451868,92616.498281,39796.663769,89399.909694,-28165.541725,181566.912077,616541.583535,127203.042533,27037.979804,15169.771232,470735.400917,81105.147752,14203.632656,184625.09655,810517.513957,85128.981266,57938.863082,CashFlow
        - Lợi nhuận thuần từ đầu tư vào công ty liên kết,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CashFlow
        - Xóa sổ tài sản cố định (thuần),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CashFlow
"        - Lãi, lỗ chênh lệch tỷ giá hối đoái chưa thực hiện",-5368.707091,13112.713378,-78041.968544,21240.184423,11948.579368,-19060.227915,-27398.961364,-75830.118684,52094.188065,58787.73906,9089.996756,-100962.35308,126189.249999,-68387.251886,-22556.832506,-42817.780646,181991.482518,-70305.066169,-71839.057689,-64717.262394,CashFlow
"        - Lãi, lỗ từ thanh lý TSCĐ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CashFlow
"        - Lãi, lỗ từ hoạt động đầu tư",-273808.227095,-302344.472792,-334170.310563,-378420.396991,-400706.720285,-585657.291168,-540253.007882,-446027.776455,-497004.314547,-526082.534268,-640246.263497,-388369.7535,-544698.633183,-436657.96365,-337553.397592,-419955.973144,-456702.528472,-505453.950579,-490145.755006,-749583.262,CashFlow
        - Lãi tiền gửi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CashFlow
        - Thu nhập lãi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CashFlow
        - Chi phí lãi vay,85791.92368,98553.625985,99817.213604,124530.447801,120148.949616,138051.289995,145819.741163,176780.202333,166542.329315,156583.283497,147985.668274,212364.00536,265654.864395,206644.073232,137833.720086,150125.422101,128825.950601,134854.268998,152389.538333,216761.295705,CashFlow
        - Các khoản chi trực tiếp từ lợi nhuận,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CashFlow
    3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,1643603.009399,1914971.348153,1544454.144815,1839584.99918,1875257.776554,1791690.672852,1876650.726271,1932557.968029,2386336.128505,2794888.530042,2274692.565793,2510529.381933,2848993.307319,3284105.396667,3009785.032818,3000873.565027,3591627.938813,3997349.80196,3344250.339399,3323397.798634,CashFlow
"        - Tăng, giảm các khoản phải thu",-256855.12031,-198921.991818,280130.64633,-627168.722951,72551.729611,-419795.810552,-408473.574946,169999.528624,-750073.714243,-1106673.77723,-149759.558922,118119.344163,-926271.125556,-60812.532941,-167453.550762,-926810.872792,-1241612.260855,444093.667367,-595412.339418,-639696.710935,CashFlow
"         - Tăng, giảm hàng tồn kho",-158599.231746,-29598.634873,-355558.654325,-215346.281347,-99660.954755,452334.064188,-325706.369017,-358199.189918,10707.62208,175395.225847,-115149.297662,57442.49033,282384.093843,171483.82838,-271641.024449,-24269.860464,-173093.14521,224692.968645,-248648.680346,33156.557092,CashFlow
"         - Tăng, giảm các khoản phải trả (Không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)",1023701.343566,1056746.353957,-1575604.939361,1454852.031824,120823.333955,1782555.834477,-2214552.97658,793812.469121,1743590.766874,1195278.491834,-2621858.951796,946527.28436,1971966.230913,1089883.462715,-1997629.152574,2031571.606019,1662964.903692,2233087.258654,-3168677.797967,2317740.96192,CashFlow
        - Tăng giảm chi phí trả trước,-1276.270354,53730.572653,-68399.255544,-101276.360915,-37801.58069,-168065.936985,-172525.51429,-86105.846762,-169726.75334,-205593.299191,-117502.927576,10659.49235,-46580.704009,86456.302249,-67254.616445,19707.673468,-166500.663328,-203779.341503,-205624.35417,-313739.108109,CashFlow
        - Tăng giảm tài sản ngắn hạn khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CashFlow
        - Tiền lãi vay phải trả,-104079.628833,-88167.135237,-80188.741107,-119187.250128,-129236.691013,-122942.98359,-129336.588963,-164709.307828,-148610.771875,-199132.300872,-189127.995202,-160991.654715,-161649.21427,-320269.511758,-160111.959538,-124408.944051,-198428.414709,-124205.428778,-161803.237457,-177254.861198,CashFlow
        - Thuế thu nhập doanh nghiệp đã nộp,-184465.32534,-260765.048787,-293906.079737,-114248.828074,-213582.047269,-423297.798061,-191388.167584,-205902.901477,-243651.636637,-580903.064164,-286845.937469,-162489.28744,-255133.912886,-266834.360511,-633330.715962,-233770.928124,-228190.332417,-115539.571946,-1286964.186262,-241660.887432,CashFlow
        - Tiền thu khác từ hoạt động kinh doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CashFlow
        - Tiền chi khác từ hoạt động kinh doanh,-19050.596958,-46055.332206,-233431.616446,-15312.816407,35.364915,41789.101404,-273166.933002,-46154.386014,-9686.929,-74628.727662,-221143.116021,-52026.419984,-9735.692245,-8949.467333,-369965.368266,-14014.690585,-10823.229,-73541.455176,-184023.46618,-144386.436677,CashFlow
    Lưu chuyển tiền thuần từ hoạt động kinh doanh,1942978.179424,2401940.131842,-782504.495375,2101896.771182,1588386.931308,2934267.143733,-1838499.398111,2035298.333775,2818884.712364,1998631.078604,-1426695.218855,3267770.630997,3703972.983109,3975063.117468,-657601.355178,3728877.548498,3235944.796986,6382157.899223,-2506903.722401,4157557.313295,CashFlow
II. Lưu chuyển tiền từ hoạt động đầu tư,,,,,,,,,,,,,,,,,,,,,CashFlow
"    1. Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác",-467250.70964,-1216644.520225,-612643.752771,-810212.916667,-600290.303392,-890243.073814,-485430.154004,-710980.983387,-747831.923421,-1242589.310752,-623674.682456,-1295411.927462,-1123052.12658,-936419.35995,-647322.276985,-912958.599267,-876954.14325,-1823594.150555,-2607427.905351,-725599.375256,CashFlow
"    2. Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác",1775.554231,893.494114,639.001817,796.437839,751.381248,680.069381,1718.973637,3020.594474,484.495775,437.966142,11586.480653,769.674106,7657.615939,9526.779053,10295.24916,1618.261988,1616.251625,697.620442,3212.12307,810.291524,CashFlow
"    3. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác",-1168782.626028,-2633448.553347,-1435807.81077,-12923503.21031,-8303095.176592,-13164712.447507,-13388405.350671,-4839732.516607,-7206028.064096,-7549708.156781,-6731446.119194,-13958940.271643,-5579325.976926,-7266476.702593,-8977359.4959,-11804030.293743,-8247959.851394,-13690610.165519,-10159337.998571,-14330226.868606,CashFlow
"    4. Tiền thu hồi cho vay, bán lại các công cụ nợ của các đơn vị khác",0.0,0.0,0.0,11028696.61774,7846066.786719,8715246.105016,12213279.082524,4992708.365166,8458326.04107,15004802.557968,5858264.271833,7357672.039717,6413233.166862,10829081.60463,6851263.040484,10099852.4255,8725918.50828,11370115.093553,8175498.984215,11476865.730372,CashFlow
    5. Đầu tư góp vốn vào công ty liên doanh liên kết,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CashFlow
    6. Chi đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CashFlow
    7. Tiền chi đầu tư góp vốn vào đơn vị khác,-66657.180894,-3910.706681,-348518.102879,63815.003753,-31155.979863,-135019.453347,-249.624051,-149236.241944,-273881.675684,-121688.535896,-306515.795863,-131577.791087,-260888.05099,-1053326.490167,-733152.087882,-10808.869438,-94349.648464,-334891.980388,-94356.673179,-64314.787705,CashFlow
    8. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,0.0,0.0,0.0,0.0,420.0,0.0,0.0,0.0,28200.047,28200.047,0.0,0.0,94939.906,0.0,0.0,0.0,0.0,48102.486048,5739.73168,17433.745902,CashFlow
    9. Lãi tiền gửi đã thu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CashFlow
"    10. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",170758.148158,214418.398948,157238.394322,476788.572547,264496.492572,284288.374708,216215.570169,709154.444759,271477.93147,584541.046103,232671.72797,910563.613381,344023.912939,649966.27104,284299.97687,607154.928052,364420.147044,341220.475794,279282.736376,817639.763306,CashFlow
    11. Tiền chi mua lại phần vốn góp của các cổ đông thiểu số,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CashFlow
    Lưu chuyển tiền thuần từ hoạt động đầu tư,-1530156.814173,-3638691.887191,-2239092.270281,-2163619.495098,-822806.799308,-5189760.425563,-1442871.502396,4933.662461,530746.852114,6703995.613784,-1559114.117057,-7116924.662988,-103411.552756,2232352.102013,-3211975.594253,-2019172.146908,-127308.736159,-4088960.620625,-4397389.00176,-2807391.500463,CashFlow
III. Lưu chuyển tiền từ hoạt động tài chính,,,,,,,,,,,,,,,,,,,,,CashFlow
"    1. Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu",392.908611,25470.0,0.0,58471.404675,29140.0,0.0,7723.76,62123.329275,0.0,7181.6,0.0,73050.5,0.0,0.0,0.0,0.0,57131.819874,106211.17,0.0,1196229.39,CashFlow
"    2. Tiền chi trả vốn góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CashFlow
"    3. Tiền vay ngắn hạn, dài hạn nhận được",5365448.198112,6525423.492757,8433667.718307,7015372.275735,8712779.094344,10301887.489625,10052894.233746,9013536.398008,6165244.903884,2888553.449095,6698228.161444,11615919.717863,8360601.367622,7596496.990331,10487172.776046,7228633.945893,7449918.727586,6736893.375061,12175546.656648,11552806.194767,CashFlow
    4. Tiền chi trả nợ gốc vay,-4730733.277935,-4794108.032481,-4625382.966624,-6306379.454143,-8114218.02419,-7885184.788039,-7397367.323294,-9756141.83189,-9702286.221086,-8884259.572642,-6685088.864823,-4450236.364211,-8696647.987147,-12719909.236528,-7982467.720579,-7172714.473158,-9459849.670403,-6354530.937168,-7902260.87056,-7901515.047258,CashFlow
    5. Tiền chi trả nợ thuê tài chính,-760.653564,-226.226135,-220.856361,-220.037146,-239.954966,-625.519839,-344.740601,-2476.540117,-3090.184755,-2464.679951,-2288.208062,-27228.980554,-294.707124,-357.879371,-345.563252,-336.39742,-1400.699807,-222.686386,-230.583912,-262.813768,CashFlow
    6. Tiền chi khác từ hoạt động tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CashFlow
    7. Tiền chi trả từ cổ phần hóa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CashFlow
"    8. Cổ tức, lợi nhuận đã trả cho chủ sở hữu",-919753.396775,-148723.28005,-297903.198825,-862498.10805,-908452.811825,-185329.827275,-2753.237319,-944460.727426,-1274523.33535,-397.4959,-178957.765195,-377874.8738,-2371938.249525,-1857.559615,-535074.322385,-1269151.045384,-18119.086577,-1469515.337775,-9.557,-2865470.362188,CashFlow
    9. Vốn góp của các cổ đông thiểu số vào các công ty con,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CashFlow
    10. Chi tiêu quỹ phúc lợi xã hội,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CashFlow
    Lưu chuyển tiền thuần từ hoạt động tài chính,-285406.221551,1607835.954091,3510160.696497,-95253.918929,-280991.696637,2230747.354472,2660152.692532,-1627419.37215,-4814654.837307,-5991386.699398,-168106.676636,6833629.999298,-2708279.576174,-5125627.685183,1969285.16983,-1213567.970069,-1972318.909327,-981164.416268,4273045.645176,1981787.361553,CashFlow
Lưu chuyển tiền thuần trong kỳ,127415.1437,371084.198742,488563.930841,-156976.642845,484588.435363,-24745.927358,-621218.207975,412812.624086,-1465023.272829,2711239.99299,-3153916.012548,2984475.967307,892281.854179,1081787.534298,-1900291.779601,496137.431521,1136317.1515,1312032.86233,-2631247.078985,3331953.174385,CashFlow
