ticker,industry,name,period,unit,value,group
DBC,Thực phẩm và đồ uống,Tăng trưởng doanh thu thuần,Q1-2025,%,0.1097,Tăng trưởng
BAF,Thực phẩm và đồ uống,Tăng trưởng doanh thu thuần,Q1-2025,%,-0.1303,Tăng trưởng
VLC,Thực phẩm và đồ uống,Tăng trưởng doanh thu thuần,Q1-2025,%,-0.0366,Tăng trưởng
HAG,Thực phẩm và đồ uống,Tăng trưởng doanh thu thuần,Q4-2024,%,-0.1626,Tăng trưởng
DBC,Thực phẩm và đồ uống,Tăng trưởng doanh thu thuần,Q4-2024,%,0.3815,Tăng trưởng
BAF,Thực phẩm và đồ uống,Tăng trưởng doanh thu thuần,Q4-2024,%,0.0546,Tăng trưởng
VLC,Thực phẩm và đồ uống,Tăng trưởng doanh thu thuần,Q4-2024,%,-0.056,Tăng trưởng
HAG,Thực phẩm và đồ uống,Tăng trưởng doanh thu thuần,Q3-2024,%,-0.2422,Tăng trưởng
DBC,Thực phẩm và đồ uống,Tăng trưởng doanh thu thuần,Q3-2024,%,0.3011,Tăng trưởng
BAF,Thực phẩm và đồ uống,Tăng trưởng doanh thu thuần,Q3-2024,%,0.0777,Tăng trưởng
VLC,Thực phẩm và đồ uống,Tăng trưởng doanh thu thuần,Q3-2024,%,-0.085,Tăng trưởng
HAG,Thực phẩm và đồ uống,Tăng trưởng doanh thu thuần,Q2-2024,%,0.0506,Tăng trưởng
DBC,Thực phẩm và đồ uống,Tăng trưởng doanh thu thuần,Q2-2024,%,-0.083,Tăng trưởng
BAF,Thực phẩm và đồ uống,Tăng trưởng doanh thu thuần,Q2-2024,%,-0.169,Tăng trưởng
VLC,Thực phẩm và đồ uống,Tăng trưởng doanh thu thuần,Q2-2024,%,0.031,Tăng trưởng
HAG,Thực phẩm và đồ uống,Tăng trưởng lợi nhuận thuần,Q2-2025,%,0.839,Tăng trưởng
DBC,Thực phẩm và đồ uống,Tăng trưởng lợi nhuận thuần,Q2-2025,%,2.4859,Tăng trưởng
BAF,Thực phẩm và đồ uống,Tăng trưởng lợi nhuận thuần,Q2-2025,%,4.6512,Tăng trưởng
VLC,Thực phẩm và đồ uống,Tăng trưởng lợi nhuận thuần,Q2-2025,%,0.4109,Tăng trưởng
HAG,Thực phẩm và đồ uống,Tăng trưởng lợi nhuận thuần,Q1-2025,%,0.5855,Tăng trưởng
DBC,Thực phẩm và đồ uống,Tăng trưởng lợi nhuận thuần,Q1-2025,%,6.0001,Tăng trưởng
BAF,Thực phẩm và đồ uống,Tăng trưởng lợi nhuận thuần,Q1-2025,%,0.1081,Tăng trưởng
VLC,Thực phẩm và đồ uống,Tăng trưởng lợi nhuận thuần,Q1-2025,%,-0.7444,Tăng trưởng
HAG,Thực phẩm và đồ uống,Tăng trưởng lợi nhuận thuần,Q4-2024,%,-0.7971,Tăng trưởng
DBC,Thực phẩm và đồ uống,Tăng trưởng lợi nhuận thuần,Q4-2024,%,36.0203,Tăng trưởng
BAF,Thực phẩm và đồ uống,Tăng trưởng lợi nhuận thuần,Q4-2024,%,4.3343,Tăng trưởng
VLC,Thực phẩm và đồ uống,Tăng trưởng lợi nhuận thuần,Q4-2024,%,-0.2863,Tăng trưởng
HAG,Thực phẩm và đồ uống,Tăng trưởng lợi nhuận thuần,Q3-2024,%,0.0364,Tăng trưởng
DBC,Thực phẩm và đồ uống,Tăng trưởng lợi nhuận thuần,Q3-2024,%,24.0464,Tăng trưởng
BAF,Thực phẩm và đồ uống,Tăng trưởng lợi nhuận thuần,Q3-2024,%,0.5405,Tăng trưởng
VLC,Thực phẩm và đồ uống,Tăng trưởng lợi nhuận thuần,Q3-2024,%,-0.6245,Tăng trưởng
HAG,Thực phẩm và đồ uống,Tăng trưởng lợi nhuận thuần,Q2-2024,%,1.88,Tăng trưởng
DBC,Thực phẩm và đồ uống,Tăng trưởng lợi nhuận thuần,Q2-2024,%,-0.555,Tăng trưởng
BAF,Thực phẩm và đồ uống,Tăng trưởng lợi nhuận thuần,Q2-2024,%,3.1078,Tăng trưởng
VLC,Thực phẩm và đồ uống,Tăng trưởng lợi nhuận thuần,Q2-2024,%,-0.6901,Tăng trưởng
HAG,Thực phẩm và đồ uống,Tổng nợ/VCSH,Q2-2025,Lần,150.84,Sức khỏe tài chính
DBC,Thực phẩm và đồ uống,Tổng nợ/VCSH,Q2-2025,Lần,92.34,Sức khỏe tài chính
BAF,Thực phẩm và đồ uống,Tổng nợ/VCSH,Q2-2025,Lần,99.75,Sức khỏe tài chính
VLC,Thực phẩm và đồ uống,Tổng nợ/VCSH,Q2-2025,Lần,15.67,Sức khỏe tài chính
HAG,Thực phẩm và đồ uống,Tổng nợ/VCSH,Q1-2025,Lần,140.97,Sức khỏe tài chính
DBC,Thực phẩm và đồ uống,Tổng nợ/VCSH,Q1-2025,Lần,99.2,Sức khỏe tài chính
BAF,Thực phẩm và đồ uống,Tổng nợ/VCSH,Q1-2025,Lần,179.81,Sức khỏe tài chính
VLC,Thực phẩm và đồ uống,Tổng nợ/VCSH,Q1-2025,Lần,11.85,Sức khỏe tài chính
HAG,Thực phẩm và đồ uống,Tổng nợ/VCSH,Q4-2024,Lần,138.92,Sức khỏe tài chính
DBC,Thực phẩm và đồ uống,Tổng nợ/VCSH,Q4-2024,Lần,108.66,Sức khỏe tài chính
BAF,Thực phẩm và đồ uống,Tổng nợ/VCSH,Q4-2024,Lần,153.74,Sức khỏe tài chính
VLC,Thực phẩm và đồ uống,Tổng nợ/VCSH,Q4-2024,Lần,13.45,Sức khỏe tài chính
HAG,Thực phẩm và đồ uống,Tổng nợ/VCSH,Q3-2024,Lần,151.03,Sức khỏe tài chính
DBC,Thực phẩm và đồ uống,Tổng nợ/VCSH,Q3-2024,Lần,115.56,Sức khỏe tài chính
BAF,Thực phẩm và đồ uống,Tổng nợ/VCSH,Q3-2024,Lần,145.55,Sức khỏe tài chính
