ticker,industry,name,period,unit,value
MPC,Thực phẩm và đồ uống,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,6176310000000.0
GEG,"Điện, nước & xăng dầu khí đốt",I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,1381710000000.0
SCS,Du lịch và Giải trí,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,1388380000000.0
BIC,Bảo hiểm,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,7540820000000.0
TVN,Tài nguyên Cơ bản,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,12878650000000.0
HND,"Điện, nước & xăng dầu khí đốt",I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,3540720000000.0
QTP,"Điện, nước & xăng dầu khí đốt",I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,4549970000000.0
TOS,Dầu khí,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,3138480000000.0
ACG,Tài nguyên Cơ bản,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,4119779999999.9995
VDS,Dịch vụ tài chính,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,6096490000000.0
IJC,Bất động sản,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,4497720000000.0
SCG,Xây dựng và Vật liệu,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,6988810000000.0
TID,Bất động sản,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,5067170000000.0
DVN,Y tế,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,4363160000000.0
SAS,Bán lẻ,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,1539230000000.0
DBD,Y tế,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,1476280000000.0
DDV,Hóa chất,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,1766630000000.0
DPG,Xây dựng và Vật liệu,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,3450680000000.0
TLG,Hàng cá nhân & Gia dụng,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,2670710000000.0
IPA,Hàng & Dịch vụ Công nghiệp,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,1955680000000.0
CRE,Bất động sản,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,4298279999999.9995
VNR,Bảo hiểm,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,5466530000000.0
MSH,Hàng cá nhân & Gia dụng,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,3249620000000.0
SCR,Bất động sản,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,6970320000000.0
