ticker,industry,name,period,unit,value
BVS,Dịch vụ tài chính,Free Float,2025-07-29,Nghìn cổ phiếu,28880.06
VIX,Dịch vụ tài chính,% Free Float,2025-07-29,%,0.95
VND,Dịch vụ tài chính,% Free Float,2025-07-29,%,0.75
VCI,Dịch vụ tài chính,% Free Float,2025-07-29,%,0.6
HCM,Dịch vụ tài chính,% Free Float,2025-07-29,%,0.5
SHS,Dịch vụ tài chính,% Free Float,2025-07-29,%,0.9
MBS,Dịch vụ tài chính,% Free Float,2025-07-29,%,0.2
FTS,Dịch vụ tài chính,% Free Float,2025-07-29,%,0.55
BSI,Dịch vụ tài chính,% Free Float,2025-07-29,%,0.14
CTS,Dịch vụ tài chính,% Free Float,2025-07-29,%,0.25
VDS,Dịch vụ tài chính,% Free Float,2025-07-29,%,0.4
ORS,Dịch vụ tài chính,% Free Float,2025-07-29,%,0.85
BVS,Dịch vụ tài chính,% Free Float,2025-07-29,%,0.4
VIX,Dịch vụ tài chính,Khối lượng khối ngoại sở hữu tối đa,2025-07-29,Nghìn cổ phiếu,1531429.86
VND,Dịch vụ tài chính,Khối lượng khối ngoại sở hữu tối đa,2025-07-29,Nghìn cổ phiếu,1522299.91
VCI,Dịch vụ tài chính,Khối lượng khối ngoại sở hữu tối đa,2025-07-29,Nghìn cổ phiếu,722600.0
HCM,Dịch vụ tài chính,Khối lượng khối ngoại sở hữu tối đa,2025-07-29,Nghìn cổ phiếu,353197.65
SHS,Dịch vụ tài chính,Khối lượng khối ngoại sở hữu tối đa,2025-07-29,Nghìn cổ phiếu,438286.49
MBS,Dịch vụ tài chính,Khối lượng khối ngoại sở hữu tối đa,2025-07-29,Nghìn cổ phiếu,280678.36
FTS,Dịch vụ tài chính,Khối lượng khối ngoại sở hữu tối đa,2025-07-29,Nghìn cổ phiếu,336509.61
BSI,Dịch vụ tài chính,Khối lượng khối ngoại sở hữu tối đa,2025-07-29,Nghìn cổ phiếu,245365.94
CTS,Dịch vụ tài chính,Khối lượng khối ngoại sở hữu tối đa,2025-07-29,Nghìn cổ phiếu,104219.78
VDS,Dịch vụ tài chính,Khối lượng khối ngoại sở hữu tối đa,2025-07-29,Nghìn cổ phiếu,267300.0
ORS,Dịch vụ tài chính,Khối lượng khối ngoại sở hữu tối đa,2025-07-29,Nghìn cổ phiếu,164639.87
BVS,Dịch vụ tài chính,Khối lượng khối ngoại sở hữu tối đa,2025-07-29,Nghìn cổ phiếu,72233.94
VIX,Dịch vụ tài chính,Tỷ lệ sở hữu khối ngoại,2025-07-29,%,0.1307
VND,Dịch vụ tài chính,Tỷ lệ sở hữu khối ngoại,2025-07-29,%,0.1734
VCI,Dịch vụ tài chính,Tỷ lệ sở hữu khối ngoại,2025-07-29,%,0.2935
HCM,Dịch vụ tài chính,Tỷ lệ sở hữu khối ngoại,2025-07-29,%,0.3876
SHS,Dịch vụ tài chính,Tỷ lệ sở hữu khối ngoại,2025-07-29,%,0.1005
MBS,Dịch vụ tài chính,Tỷ lệ sở hữu khối ngoại,2025-07-29,%,0.0624
FTS,Dịch vụ tài chính,Tỷ lệ sở hữu khối ngoại,2025-07-29,%,0.2753
BSI,Dịch vụ tài chính,Tỷ lệ sở hữu khối ngoại,2025-07-29,%,0.364
CTS,Dịch vụ tài chính,Tỷ lệ sở hữu khối ngoại,2025-07-29,%,0.0179
VDS,Dịch vụ tài chính,Tỷ lệ sở hữu khối ngoại,2025-07-29,%,0.0155
ORS,Dịch vụ tài chính,Tỷ lệ sở hữu khối ngoại,2025-07-29,%,0.0121
BVS,Dịch vụ tài chính,Tỷ lệ sở hữu khối ngoại,2025-07-29,%,0.0176
VIX,Dịch vụ tài chính,Khối lượng khối ngoại còn lại,2025-07-29,Nghìn cổ phiếu,1331206.25
VND,Dịch vụ tài chính,Khối lượng khối ngoại còn lại,2025-07-29,Nghìn cổ phiếu,1258385.21
VCI,Dịch vụ tài chính,Khối lượng khối ngoại còn lại,2025-07-29,Nghìn cổ phiếu,510518.71
HCM,Dịch vụ tài chính,Khối lượng khối ngoại còn lại,2025-07-29,Nghìn cổ phiếu,73826.07
SHS,Dịch vụ tài chính,Khối lượng khối ngoại còn lại,2025-07-29,Nghìn cổ phiếu,348353.49
MBS,Dịch vụ tài chính,Khối lượng khối ngoại còn lại,2025-07-29,Nghìn cổ phiếu,244918.43
FTS,Dịch vụ tài chính,Khối lượng khối ngoại còn lại,2025-07-29,Nghìn cổ phiếu,243860.21
BSI,Dịch vụ tài chính,Khối lượng khối ngoại còn lại,2025-07-29,Nghìn cổ phiếu,156058.57
CTS,Dịch vụ tài chính,Khối lượng khối ngoại còn lại,2025-07-29,Nghìn cổ phiếu,100410.0
VDS,Dịch vụ tài chính,Khối lượng khối ngoại còn lại,2025-07-29,Nghìn cổ phiếu,263148.68
ORS,Dịch vụ tài chính,Khối lượng khối ngoại còn lại,2025-07-29,Nghìn cổ phiếu,160589.68
BVS,Dịch vụ tài chính,Khối lượng khối ngoại còn lại,2025-07-29,Nghìn cổ phiếu,70961.95
VIX,Dịch vụ tài chính,Room khối ngoại còn lại,2025-07-29,%,0.8693
VND,Dịch vụ tài chính,Room khối ngoại còn lại,2025-07-29,%,0.8266
VCI,Dịch vụ tài chính,Room khối ngoại còn lại,2025-07-29,%,0.7065
HCM,Dịch vụ tài chính,Room khối ngoại còn lại,2025-07-29,%,0.1024
SHS,Dịch vụ tài chính,Room khối ngoại còn lại,2025-07-29,%,0.3895
MBS,Dịch vụ tài chính,Room khối ngoại còn lại,2025-07-29,%,0.4276
FTS,Dịch vụ tài chính,Room khối ngoại còn lại,2025-07-29,%,0.7247
BSI,Dịch vụ tài chính,Room khối ngoại còn lại,2025-07-29,%,0.636
CTS,Dịch vụ tài chính,Room khối ngoại còn lại,2025-07-29,%,0.4721
VDS,Dịch vụ tài chính,Room khối ngoại còn lại,2025-07-29,%,0.9845
ORS,Dịch vụ tài chính,Room khối ngoại còn lại,2025-07-29,%,0.4779
BVS,Dịch vụ tài chính,Room khối ngoại còn lại,2025-07-29,%,0.9824
VIX,Dịch vụ tài chính,Tỷ lệ sở hữu nhà nước,2025-07-29,%,0.0
VND,Dịch vụ tài chính,Tỷ lệ sở hữu nhà nước,2025-07-29,%,0.0
VCI,Dịch vụ tài chính,Tỷ lệ sở hữu nhà nước,2025-07-29,%,0.0
HCM,Dịch vụ tài chính,Tỷ lệ sở hữu nhà nước,2025-07-29,%,0.1688
SHS,Dịch vụ tài chính,Tỷ lệ sở hữu nhà nước,2025-07-29,%,0.0
MBS,Dịch vụ tài chính,Tỷ lệ sở hữu nhà nước,2025-07-29,%,0.0
FTS,Dịch vụ tài chính,Tỷ lệ sở hữu nhà nước,2025-07-29,%,0.0
BSI,Dịch vụ tài chính,Tỷ lệ sở hữu nhà nước,2025-07-29,%,0.5197
CTS,Dịch vụ tài chính,Tỷ lệ sở hữu nhà nước,2025-07-29,%,0.7564
VDS,Dịch vụ tài chính,Tỷ lệ sở hữu nhà nước,2025-07-29,%,0.0
ORS,Dịch vụ tài chính,Tỷ lệ sở hữu nhà nước,2025-07-29,%,0.0
BVS,Dịch vụ tài chính,Tỷ lệ sở hữu nhà nước,2025-07-29,%,0.5992
VIX,Dịch vụ tài chính,EPS cơ bản ,2025-07-29,Nghìn VND,1.39
VND,Dịch vụ tài chính,EPS cơ bản ,2025-07-29,Nghìn VND,1.0
VCI,Dịch vụ tài chính,EPS cơ bản ,2025-07-29,Nghìn VND,1.37
HCM,Dịch vụ tài chính,EPS cơ bản ,2025-07-29,Nghìn VND,1.17
SHS,Dịch vụ tài chính,EPS cơ bản ,2025-07-29,Nghìn VND,1.06
MBS,Dịch vụ tài chính,EPS cơ bản ,2025-07-29,Nghìn VND,1.55
FTS,Dịch vụ tài chính,EPS cơ bản ,2025-07-29,Nghìn VND,1.35
BSI,Dịch vụ tài chính,EPS cơ bản ,2025-07-29,Nghìn VND,1.4
CTS,Dịch vụ tài chính,EPS cơ bản ,2025-07-29,Nghìn VND,1.85
VDS,Dịch vụ tài chính,EPS cơ bản ,2025-07-29,Nghìn VND,0.71
ORS,Dịch vụ tài chính,EPS cơ bản ,2025-07-29,Nghìn VND,0.27
BVS,Dịch vụ tài chính,EPS cơ bản ,2025-07-29,Nghìn VND,2.13
VIX,Dịch vụ tài chính,P/E cơ bản ,2025-07-29,Lần,17.22
VND,Dịch vụ tài chính,P/E cơ bản ,2025-07-29,Lần,21.15
VCI,Dịch vụ tài chính,P/E cơ bản ,2025-07-29,Lần,30.55
HCM,Dịch vụ tài chính,P/E cơ bản ,2025-07-29,Lần,21.63
SHS,Dịch vụ tài chính,P/E cơ bản ,2025-07-29,Lần,18.63
MBS,Dịch vụ tài chính,P/E cơ bản ,2025-07-29,Lần,21.75
FTS,Dịch vụ tài chính,P/E cơ bản ,2025-07-29,Lần,30.46
BSI,Dịch vụ tài chính,P/E cơ bản ,2025-07-29,Lần,32.76
CTS,Dịch vụ tài chính,P/E cơ bản ,2025-07-29,Lần,21.43
VDS,Dịch vụ tài chính,P/E cơ bản ,2025-07-29,Lần,24.38
ORS,Dịch vụ tài chính,P/E cơ bản ,2025-07-29,Lần,40.56
BVS,Dịch vụ tài chính,P/E cơ bản ,2025-07-29,Lần,17.72
VIX,Dịch vụ tài chính,P/B ,2025-07-29,Lần,2.07
