ticker,industry,name,period,unit,value,group
HCM,Dịch vụ tài chính,ROA,Q2-2024,%,0.0476,Hiệu quả
MBS,Dịch vụ tài chính,ROA,Q2-2024,%,0.0478,Hiệu quả
SHS,Dịch vụ tài chính,ROA,Q2-2024,%,0.0937,Hiệu quả
FTS,Dịch vụ tài chính,ROA,Q2-2024,%,0.0674,Hiệu quả
BSI,Dịch vụ tài chính,ROA,Q2-2024,%,0.0472,Hiệu quả
CTS,Dịch vụ tài chính,ROA,Q2-2024,%,0.0279,Hiệu quả
VDS,Dịch vụ tài chính,ROA,Q2-2024,%,0.0737,Hiệu quả
ORS,Dịch vụ tài chính,ROA,Q2-2024,%,0.0344,Hiệu quả
BVS,Dịch vụ tài chính,ROA,Q2-2024,%,0.0322,Hiệu quả
VIX,Dịch vụ tài chính,Tỷ suất lợi nhuận thuần,Q2-2025,%,0.506,Hiệu quả
VND,Dịch vụ tài chính,Tỷ suất lợi nhuận thuần,Q2-2025,%,0.2751,Hiệu quả
VCI,Dịch vụ tài chính,Tỷ suất lợi nhuận thuần,Q2-2025,%,0.229,Hiệu quả
HCM,Dịch vụ tài chính,Tỷ suất lợi nhuận thuần,Q2-2025,%,0.1977,Hiệu quả
MBS,Dịch vụ tài chính,Tỷ suất lợi nhuận thuần,Q2-2025,%,0.2759,Hiệu quả
SHS,Dịch vụ tài chính,Tỷ suất lợi nhuận thuần,Q2-2025,%,0.493,Hiệu quả
FTS,Dịch vụ tài chính,Tỷ suất lợi nhuận thuần,Q2-2025,%,0.4146,Hiệu quả
BSI,Dịch vụ tài chính,Tỷ suất lợi nhuận thuần,Q2-2025,%,0.2324,Hiệu quả
CTS,Dịch vụ tài chính,Tỷ suất lợi nhuận thuần,Q2-2025,%,0.2656,Hiệu quả
VDS,Dịch vụ tài chính,Tỷ suất lợi nhuận thuần,Q2-2025,%,0.0772,Hiệu quả
ORS,Dịch vụ tài chính,Tỷ suất lợi nhuận thuần,Q2-2025,%,0.051,Hiệu quả
BVS,Dịch vụ tài chính,Tỷ suất lợi nhuận thuần,Q2-2025,%,0.2378,Hiệu quả
VIX,Dịch vụ tài chính,Tỷ suất lợi nhuận thuần,Q1-2025,%,0.3556,Hiệu quả
VND,Dịch vụ tài chính,Tỷ suất lợi nhuận thuần,Q1-2025,%,0.2855,Hiệu quả
VCI,Dịch vụ tài chính,Tỷ suất lợi nhuận thuần,Q1-2025,%,0.2695,Hiệu quả
