ticker,industry,name,period,unit,value,group
HCM,Dịch vụ tài chính,Tài sản dài hạn,Q4-2024,Tỷ VND,167.48,CĐKT - Tài sản
MBS,Dịch vụ tài chính,Tài sản dài hạn,Q4-2024,Tỷ VND,258.31,CĐKT - Tài sản
SHS,Dịch vụ tài chính,Tài sản dài hạn,Q4-2024,Tỷ VND,92.62,CĐKT - Tài sản
FTS,Dịch vụ tài chính,Tài sản dài hạn,Q4-2024,Tỷ VND,179.4,CĐKT - Tài sản
BSI,Dịch vụ tài chính,Tài sản dài hạn,Q4-2024,Tỷ VND,553.62,CĐKT - Tài sản
CTS,Dịch vụ tài chính,Tài sản dài hạn,Q4-2024,Tỷ VND,99.78,CĐKT - Tài sản
VDS,Dịch vụ tài chính,Tài sản dài hạn,Q4-2024,Tỷ VND,298.5,CĐKT - Tài sản
ORS,Dịch vụ tài chính,Tài sản dài hạn,Q4-2024,Tỷ VND,52.78,CĐKT - Tài sản
BVS,Dịch vụ tài chính,Tài sản dài hạn,Q4-2024,Tỷ VND,547.67,CĐKT - Tài sản
VIX,Dịch vụ tài chính,Tài sản dài hạn,Q3-2024,Tỷ VND,47.33,CĐKT - Tài sản
VND,Dịch vụ tài chính,Tài sản dài hạn,Q3-2024,Tỷ VND,1304.07,CĐKT - Tài sản
VCI,Dịch vụ tài chính,Tài sản dài hạn,Q3-2024,Tỷ VND,92.95,CĐKT - Tài sản
HCM,Dịch vụ tài chính,Tài sản dài hạn,Q3-2024,Tỷ VND,174.84,CĐKT - Tài sản
MBS,Dịch vụ tài chính,Tài sản dài hạn,Q3-2024,Tỷ VND,267.83,CĐKT - Tài sản
SHS,Dịch vụ tài chính,Tài sản dài hạn,Q3-2024,Tỷ VND,65.45,CĐKT - Tài sản
FTS,Dịch vụ tài chính,Tài sản dài hạn,Q3-2024,Tỷ VND,182.34,CĐKT - Tài sản
BSI,Dịch vụ tài chính,Tài sản dài hạn,Q3-2024,Tỷ VND,545.61,CĐKT - Tài sản
CTS,Dịch vụ tài chính,Tài sản dài hạn,Q3-2024,Tỷ VND,99.72,CĐKT - Tài sản
VDS,Dịch vụ tài chính,Tài sản dài hạn,Q3-2024,Tỷ VND,297.36,CĐKT - Tài sản
ORS,Dịch vụ tài chính,Tài sản dài hạn,Q3-2024,Tỷ VND,58.0,CĐKT - Tài sản
BVS,Dịch vụ tài chính,Tài sản dài hạn,Q3-2024,Tỷ VND,343.45,CĐKT - Tài sản
VIX,Dịch vụ tài chính,Tài sản dài hạn,Q2-2024,Tỷ VND,48.16,CĐKT - Tài sản
VND,Dịch vụ tài chính,Tài sản dài hạn,Q2-2024,Tỷ VND,1308.57,CĐKT - Tài sản
VCI,Dịch vụ tài chính,Tài sản dài hạn,Q2-2024,Tỷ VND,95.46,CĐKT - Tài sản
HCM,Dịch vụ tài chính,Tài sản dài hạn,Q2-2024,Tỷ VND,181.83,CĐKT - Tài sản
MBS,Dịch vụ tài chính,Tài sản dài hạn,Q2-2024,Tỷ VND,291.1,CĐKT - Tài sản
SHS,Dịch vụ tài chính,Tài sản dài hạn,Q2-2024,Tỷ VND,67.77,CĐKT - Tài sản
FTS,Dịch vụ tài chính,Tài sản dài hạn,Q2-2024,Tỷ VND,187.01,CĐKT - Tài sản
BSI,Dịch vụ tài chính,Tài sản dài hạn,Q2-2024,Tỷ VND,286.34,CĐKT - Tài sản
CTS,Dịch vụ tài chính,Tài sản dài hạn,Q2-2024,Tỷ VND,103.48,CĐKT - Tài sản
VDS,Dịch vụ tài chính,Tài sản dài hạn,Q2-2024,Tỷ VND,341.35,CĐKT - Tài sản
ORS,Dịch vụ tài chính,Tài sản dài hạn,Q2-2024,Tỷ VND,47.6,CĐKT - Tài sản
BVS,Dịch vụ tài chính,Tài sản dài hạn,Q2-2024,Tỷ VND,342.76,CĐKT - Tài sản
VIX,Dịch vụ tài chính,Tài sản cố định,Q2-2025,Tỷ VND,22.23,CĐKT - Tài sản
VND,Dịch vụ tài chính,Tài sản cố định,Q2-2025,Tỷ VND,78.33,CĐKT - Tài sản
VCI,Dịch vụ tài chính,Tài sản cố định,Q2-2025,Tỷ VND,56.03,CĐKT - Tài sản
HCM,Dịch vụ tài chính,Tài sản cố định,Q2-2025,Tỷ VND,38.49,CĐKT - Tài sản
MBS,Dịch vụ tài chính,Tài sản cố định,Q2-2025,Tỷ VND,142.5,CĐKT - Tài sản
SHS,Dịch vụ tài chính,Tài sản cố định,Q2-2025,Tỷ VND,30.74,CĐKT - Tài sản
FTS,Dịch vụ tài chính,Tài sản cố định,Q2-2025,Tỷ VND,139.46,CĐKT - Tài sản
BSI,Dịch vụ tài chính,Tài sản cố định,Q2-2025,Tỷ VND,24.62,CĐKT - Tài sản
CTS,Dịch vụ tài chính,Tài sản cố định,Q2-2025,Tỷ VND,55.46,CĐKT - Tài sản
VDS,Dịch vụ tài chính,Tài sản cố định,Q2-2025,Tỷ VND,69.27,CĐKT - Tài sản
ORS,Dịch vụ tài chính,Tài sản cố định,Q2-2025,Tỷ VND,20.47,CĐKT - Tài sản
BVS,Dịch vụ tài chính,Tài sản cố định,Q2-2025,Tỷ VND,24.33,CĐKT - Tài sản
VIX,Dịch vụ tài chính,Tài sản cố định,Q1-2025,Tỷ VND,23.44,CĐKT - Tài sản
VND,Dịch vụ tài chính,Tài sản cố định,Q1-2025,Tỷ VND,73.31,CĐKT - Tài sản
VCI,Dịch vụ tài chính,Tài sản cố định,Q1-2025,Tỷ VND,42.7,CĐKT - Tài sản
HCM,Dịch vụ tài chính,Tài sản cố định,Q1-2025,Tỷ VND,39.71,CĐKT - Tài sản
MBS,Dịch vụ tài chính,Tài sản cố định,Q1-2025,Tỷ VND,154.67,CĐKT - Tài sản
SHS,Dịch vụ tài chính,Tài sản cố định,Q1-2025,Tỷ VND,32.04,CĐKT - Tài sản
FTS,Dịch vụ tài chính,Tài sản cố định,Q1-2025,Tỷ VND,143.38,CĐKT - Tài sản
BSI,Dịch vụ tài chính,Tài sản cố định,Q1-2025,Tỷ VND,26.34,CĐKT - Tài sản
CTS,Dịch vụ tài chính,Tài sản cố định,Q1-2025,Tỷ VND,55.7,CĐKT - Tài sản
VDS,Dịch vụ tài chính,Tài sản cố định,Q1-2025,Tỷ VND,70.84,CĐKT - Tài sản
ORS,Dịch vụ tài chính,Tài sản cố định,Q1-2025,Tỷ VND,16.78,CĐKT - Tài sản
BVS,Dịch vụ tài chính,Tài sản cố định,Q1-2025,Tỷ VND,25.47,CĐKT - Tài sản
VIX,Dịch vụ tài chính,Tài sản cố định,Q4-2024,Tỷ VND,24.64,CĐKT - Tài sản
VND,Dịch vụ tài chính,Tài sản cố định,Q4-2024,Tỷ VND,84.09,CĐKT - Tài sản
VCI,Dịch vụ tài chính,Tài sản cố định,Q4-2024,Tỷ VND,37.27,CĐKT - Tài sản
HCM,Dịch vụ tài chính,Tài sản cố định,Q4-2024,Tỷ VND,41.49,CĐKT - Tài sản
MBS,Dịch vụ tài chính,Tài sản cố định,Q4-2024,Tỷ VND,155.68,CĐKT - Tài sản
SHS,Dịch vụ tài chính,Tài sản cố định,Q4-2024,Tỷ VND,29.87,CĐKT - Tài sản
FTS,Dịch vụ tài chính,Tài sản cố định,Q4-2024,Tỷ VND,142.6,CĐKT - Tài sản
BSI,Dịch vụ tài chính,Tài sản cố định,Q4-2024,Tỷ VND,27.59,CĐKT - Tài sản
CTS,Dịch vụ tài chính,Tài sản cố định,Q4-2024,Tỷ VND,57.88,CĐKT - Tài sản
VDS,Dịch vụ tài chính,Tài sản cố định,Q4-2024,Tỷ VND,64.02,CĐKT - Tài sản
ORS,Dịch vụ tài chính,Tài sản cố định,Q4-2024,Tỷ VND,17.46,CĐKT - Tài sản
BVS,Dịch vụ tài chính,Tài sản cố định,Q4-2024,Tỷ VND,19.66,CĐKT - Tài sản
VIX,Dịch vụ tài chính,Tài sản cố định,Q3-2024,Tỷ VND,24.2,CĐKT - Tài sản
VND,Dịch vụ tài chính,Tài sản cố định,Q3-2024,Tỷ VND,100.0,CĐKT - Tài sản
VCI,Dịch vụ tài chính,Tài sản cố định,Q3-2024,Tỷ VND,29.22,CĐKT - Tài sản
HCM,Dịch vụ tài chính,Tài sản cố định,Q3-2024,Tỷ VND,44.77,CĐKT - Tài sản
MBS,Dịch vụ tài chính,Tài sản cố định,Q3-2024,Tỷ VND,167.6,CĐKT - Tài sản
SHS,Dịch vụ tài chính,Tài sản cố định,Q3-2024,Tỷ VND,18.54,CĐKT - Tài sản
FTS,Dịch vụ tài chính,Tài sản cố định,Q3-2024,Tỷ VND,144.18,CĐKT - Tài sản
BSI,Dịch vụ tài chính,Tài sản cố định,Q3-2024,Tỷ VND,27.38,CĐKT - Tài sản
CTS,Dịch vụ tài chính,Tài sản cố định,Q3-2024,Tỷ VND,60.14,CĐKT - Tài sản
